Rk,Player,Tm,2018-19
1,Stephen Curry,GSW,"$37,457,154 "
2,Chris Paul,HOU,"$35,654,150 "
3,Russell Westbrook,OKC,"$35,654,150 "
4,LeBron James,LAL,"$35,654,150 "
5,Blake Griffin,DET,"$32,088,932 "
6,Gordon Hayward,BOS,"$31,214,295 "
7,Kyle Lowry,TOR,"$31,200,000 "
8,Paul George,OKC,"$30,560,700 "
9,Mike Conley,MEM,"$30,521,116 "
10,James Harden,HOU,"$30,431,854 "
11,Kevin Durant,GSW,"$30,000,000 "
12,Paul Millsap,DEN,"$29,730,769 "
13,Al Horford,BOS,"$28,928,710 "
14,Damian Lillard,POR,"$27,977,689 "
15,DeMar DeRozan,SAS,"$27,739,975 "
16,Chris Bosh,MIA,"$26,837,720 "
17,Otto Porter,CHI,"$26,011,913 "
18,Jrue Holiday,NOP,"$25,976,111 "
19,CJ McCollum,POR,"$25,759,766 "
20,Carmelo Anthony,ATL,"$25,534,253 "
21,Andrew Wiggins,MIN,"$25,467,250 "
22,Joel Embiid,PHI,"$25,467,250 "
23,Bradley Beal,WAS,"$25,434,263 "
24,Anthony Davis,NOP,"$25,434,263 "
25,Andre Drummond,DET,"$25,434,263 "
26,Hassan Whiteside,MIA,"$25,434,263 "
27,Nikola Jokic,DEN,"$24,605,181 "
28,Steven Adams,OKC,"$24,157,304 "
29,Giannis Antetokounmpo,MIL,"$24,157,304 "
30,Kevin Love,CLE,"$24,119,025 "
31,Marc Gasol,TOR,"$24,119,025 "
32,Chandler Parsons,MEM,"$24,107,258 "
33,Harrison Barnes,SAC,"$24,107,258 "
34,Nicolas Batum,CHO,"$24,000,000 "
35,Rudy Gobert,UTA,"$23,241,573 "
36,Kawhi Leonard,TOR,"$23,114,067 "
37,DeAndre Jordan,NYK,"$22,900,000 "
38,LaMarcus Aldridge,SAS,"$22,347,015 "
39,Serge Ibaka,TOR,"$21,666,667 "
40,Aaron Gordon,ORL,"$21,590,909 "
41,Danilo Gallinari,LAC,"$21,587,579 "
42,Victor Oladipo,IND,"$21,000,000 "
43,Jimmy Butler,PHI,"$20,445,779 "
44,Ryan Anderson,MIA,"$20,421,546 "
45,Kyrie Irving,BOS,"$20,099,189 "
46,Jabari Parker,WAS,"$20,000,000 "
47,Zach LaVine,CHI,"$19,500,000 "
48,Tyler Johnson,PHO,"$19,245,370 "
49,John Wall,WAS,"$19,169,800 "
50,George Hill,MIL,"$19,000,000 "
51,Jeff Teague,MIN,"$19,000,000 "
52,Klay Thompson,GSW,"$18,988,725 "
53,Dwight Howard,BRK,"$18,919,725 "
54,Enes Kanter,NYK,"$18,622,514 "
55,Wesley Matthews,NYK,"$18,622,514 "
56,Joakim Noah,NYK,"$18,530,000 "
57,Allen Crabbe,BRK,"$18,500,000 "
58,Goran Dragic,MIA,"$18,109,175 "
59,Kent Bazemore,ATL,"$18,089,887 "
60,Evan Turner,POR,"$17,868,852 "
61,Draymond Green,GSW,"$17,469,565 "
62,Tristan Thompson,CLE,"$17,469,565 "
63,Tim Hardaway,DAL,"$17,325,000 "
64,Reggie Jackson,DET,"$17,043,478 "
65,Evan Fournier,ORL,"$17,000,000 "
66,Bismack Biyombo,CHO,"$17,000,000 "
67,Derrick Favors,UTA,"$16,900,000 "
68,Jonas Valanciunas,MEM,"$16,539,326 "
69,Gary Harris,DEN,"$16,517,857 "
70,Andre Iguodala,GSW,"$16,000,000 "
71,Timofey Mozgov,ORL,"$16,000,000 "
72,Ian Mahinmi,WAS,"$15,944,154 "
73,Dennis Schroder,OKC,"$15,500,000 "
74,DeMarre Carroll,BRK,"$15,400,000 "
75,Clint Capela,HOU,"$15,293,104 "
76,Gorgui Dieng,MIN,"$15,170,787 "
77,Pau Gasol,SAS,"$15,100,000 "
78,Eric Bledsoe,MIL,"$15,000,000 "
79,Trevor Ariza,WAS,"$15,000,000 "
80,Ricky Rubio,UTA,"$14,975,000 "
81,Tobias Harris,PHI,"$14,800,000 "
82,J.R. Smith,CLE,"$14,720,000 "
83,James Johnson,MIA,"$14,651,700 "
84,Brandon Knight,CLE,"$14,631,250 "
85,Robin Lopez,CHI,"$14,357,750 "
86,Luol Deng,LAL,"$14,354,067 "
87,Marvin Williams,CHO,"$14,087,500 "
88,Taj Gibson,MIN,"$14,000,000 "
89,Jeremy Lin,ATL,"$13,768,421 "
90,Thaddeus Young,IND,"$13,764,045 "
91,Kenneth Faried,BRK,"$13,764,045 "
92,Tyson Chandler,PHO,"$13,585,000 "
93,Marcin Gortat,LAC,"$13,565,218 "
94,Cody Zeller,CHO,"$13,528,090 "
95,Eric Gordon,HOU,"$13,500,375 "
96,Joe Ingles,UTA,"$13,045,455 "
97,Khris Middleton,MIL,"$13,000,000 "
98,Michael Kidd-Gilchrist,CHO,"$13,000,000 "
99,Mason Plumlee,DEN,"$12,917,808 "
100,Wilson Chandler,LAC,"$12,800,562 "
101,Nikola Vucevic,ORL,"$12,750,000 "
102,Jordan Clarkson,CLE,"$12,500,000 "
103,Miles Plumlee,ATL,"$12,500,000 "
104,Nikola Mirotic,MIL,"$12,500,000 "
105,Tyreke Evans,IND,"$12,400,000 "
106,Courtney Lee,DAL,"$12,253,780 "
107,Solomon Hill,NOP,"$12,252,928 "
108,J.J. Redick,PHI,"$12,250,000 "
109,Kelly Olynyk,MIA,"$12,137,527 "
110,Austin Rivers,PHO,"$12,000,000 "
111,Avery Bradley,MEM,"$12,000,000 "
112,Kentavious Caldwell-Pope,LAL,"$12,000,000 "
113,Kemba Walker,CHO,"$12,000,000 "
114,Will Barton,DEN,"$11,830,358 "
115,T.J. Warren,PHO,"$11,750,000 "
116,Zach Randolph,DAL,"$11,692,308 "
117,Marcus Smart,BOS,"$11,660,716 "
118,Patty Mills,SAS,"$11,571,429 "
119,Dion Waiters,MIA,"$11,550,000 "
120,Alec Burks,SAC,"$11,536,515 "
121,John Henson,CLE,"$11,327,466 "
122,Omer Asik,CHI,"$11,286,516 "
123,Jusuf Nurkic,POR,"$11,111,111 "
124,Iman Shumpert,HOU,"$11,011,234 "
125,Maurice Harkless,POR,"$10,837,079 "
126,Tony Snell,MIL,"$10,607,143 "
127,Meyers Leonard,POR,"$10,595,506 "
128,Terrence Ross,ORL,"$10,500,000 "
129,Bojan Bogdanovic,IND,"$10,500,000 "
130,Robert Covington,MIN,"$10,464,092 "
131,Rudy Gay,SAS,"$10,087,200 "
132,Jon Leuer,DET,"$10,002,681 "
133,Andre Roberson,OKC,"$10,000,000 "
134,Danny Green,TOR,"$10,000,000 "
135,Darren Collison,IND,"$10,000,000 "
136,Dwight Powell,DAL,"$9,631,250 "
137,Matthew Dellavedova,CLE,"$9,607,500 "
138,Dante Exum,UTA,"$9,600,000 "
139,Jared Dudley,BRK,"$9,530,000 "
140,Norman Powell,TOR,"$9,367,200 "
141,Josh Richardson,MIA,"$9,367,200 "
142,Bogdan Bogdanovic,SAC,"$9,000,000 "
143,Rajon Rondo,LAL,"$9,000,000 "
144,E'Twaun Moore,NOP,"$8,808,685 "
145,Kosta Koufos,SAC,"$8,739,500 "
146,Jerami Grant,OKC,"$8,653,847 "
147,Fred VanVleet,TOR,"$8,653,847 "
148,Kyle Anderson,MEM,"$8,641,000 "
149,Julius Randle,NOP,"$8,641,000 "
150,Markieff Morris,NOP,"$8,600,000 "
151,Jerryd Bayless,MIN,"$8,575,916 "
152,Cristiano Felicio,CHI,"$8,470,980 "
153,Markelle Fultz,ORL,"$8,339,880 "
154,Joe Harris,BRK,"$8,333,333 "
155,C.J. Miles,MEM,"$8,333,333 "
156,Shaun Livingston,GSW,"$8,307,692 "
157,Deandre Ayton,PHO,"$8,165,160 "
158,Lou Williams,LAC,"$8,000,000 "
159,Garrett Temple,LAC,"$8,000,000 "
160,P.J. Tucker,HOU,"$7,969,537 "
161,Cory Joseph,IND,"$7,945,000 "
162,JaMychal Green,LAC,"$7,866,667 "
163,Karl-Anthony Towns,MIN,"$7,839,435 "
164,Kyle Korver,UTA,"$7,560,000 "
165,Jeremy Lamb,CHO,"$7,488,372 "
166,Darrell Arthur,PHO,"$7,464,912 "
167,Lonzo Ball,LAL,"$7,461,960 "
168,Doug McDermott,IND,"$7,333,334 "
169,Jae Crowder,UTA,"$7,305,825 "
170,Marvin Bagley,SAC,"$7,305,600 "
171,D.J. Augustin,ORL,"$7,250,000 "
172,Dewayne Dedmon,ATL,"$7,200,000 "
173,Lance Thomas,NYK,"$7,119,650 "
174,D'Angelo Russell,BRK,"$7,019,698 "
175,Langston Galloway,DET,"$7,000,000 "
176,Davis Bertans,SAS,"$7,000,000 "
177,Ersan Ilyasova,MIL,"$7,000,000 "
178,Boban Marjanovic,PHI,"$7,000,000 "
179,Al-Farouq Aminu,POR,"$6,957,105 "
180,Jayson Tatum,BOS,"$6,700,800 "
181,Luka Doncic,DAL,"$6,560,640 "
182,Nemanja Bjelica,SAC,"$6,500,000 "
183,Mario Hezonja,NYK,"$6,500,000 "
184,Ben Simmons,PHI,"$6,434,520 "
185,Milos Teodosic,LAC,"$6,300,000 "
186,Wayne Ellington,PHO,"$6,270,000 "
187,Marco Belinelli,SAS,"$6,153,846 "
188,Wesley Johnson,WAS,"$6,134,520 "
189,Josh Jackson,PHO,"$6,041,520 "
190,Montrezl Harrell,LAC,"$6,000,000 "
191,Jonathon Simmons,PHI,"$6,000,000 "
192,Ish Smith,DET,"$6,000,000 "
193,Jaren Jackson,MEM,"$5,915,040 "
194,Brandon Ingram,LAL,"$5,757,120 "
195,Anthony Tolliver,MIN,"$5,750,000 "
196,Kristaps Porzingis,DAL,"$5,697,054 "
197,Deron Williams,BRK,"$5,474,787 "
198,De'Aaron Fox,SAC,"$5,470,920 "
199,Ben McLemore,SAC,"$5,460,000 "
200,Alex Abrines,OKC,"$5,455,236 "
201,Patrick Patterson,OKC,"$5,451,600 "
202,Jason Smith,NOP,"$5,450,000 "
203,Marcus Morris,BOS,"$5,375,000 "
204,Trae Young,ATL,"$5,356,440 "
205,Dwight Howard,WAS,"$5,337,000 "
206,DeMarcus Cousins,GSW,"$5,337,000 "
207,Josh Smith,DET,"$5,331,729 "
208,Alexis Ajinca,LAC,"$5,285,394 "
209,Thabo Sefolosha,UTA,"$5,250,000 "
210,Aron Baynes,BOS,"$5,193,600 "
211,Jaylen Brown,BOS,"$5,169,960 "
212,Patrick Beverley,LAC,"$5,027,028 "
213,Tony Parker,CHO,"$5,000,000 "
214,Mike Muscala,LAL,"$5,000,000 "
215,Dirk Nowitzki,DAL,"$5,000,000 "
216,Jonathan Isaac,ORL,"$4,969,080 "
217,Mohamed Bamba,ORL,"$4,865,040 "
218,Willie Cauley-Stein,SAC,"$4,696,875 "
219,Dragan Bender,PHO,"$4,661,280 "
220,Ron Baker,NYK,"$4,544,400 "
221,Lauri Markkanen,CHI,"$4,536,120 "
222,Lance Stephenson,LAL,"$4,449,000 "
223,Kyle O'Quinn,IND,"$4,449,000 "
224,Ed Davis,BRK,"$4,449,000 "
225,Wendell Carter,CHI,"$4,441,200 "
226,Justin Holiday,MEM,"$4,384,616 "
227,Alex Len,ATL,"$4,350,000 "
228,Mike Scott,PHI,"$4,320,500 "
229,Luc Mbah a Moute,LAC,"$4,320,500 "
230,Emmanuel Mudiay,NYK,"$4,294,480 "
231,Kris Dunn,CHI,"$4,221,000 "
232,Frank Ntilikina,NYK,"$4,155,720 "
233,Glenn Robinson,DET,"$4,075,000 "
234,Collin Sexton,CLE,"$4,068,600 "
235,Al Jefferson,IND,"$4,000,000 "
236,Stanley Johnson,NOP,"$3,940,402 "
237,Buddy Hield,SAC,"$3,833,760 "
238,Dennis Smith,NYK,"$3,819,960 "
239,Kevin Knox,NYK,"$3,739,920 "
240,J.J. Barea,DAL,"$3,710,850 "
241,Nene Hilario,HOU,"$3,651,480 "
242,Zach Collins,POR,"$3,628,920 "
